source_id,target_id,rel_type,rel_subtype,rel_desc_chn,direction,year_start,year_end,weight,evidence_level,source_ref,cbdb_assoc_code,cbdb_role_type,evidence_count,evidence_list,primary_rel,is_bridge
3036,33649,COLLEAGUE,CL_BI,為Y所辟,directed,909,,0.7,unsourced,,25,P,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": """", ""c_pages"": """", ""c_sequence"": 0, ""c_text_title"": ""[n/a]"", ""orig_personid"": 33649, ""orig_assoc_id"": 3036, ""cbdb_assoc_code"": 25}]",1,0
3036,33649,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""1464"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 33649, ""orig_assoc_id"": 3036, ""cbdb_assoc_code"": 438}]",0,0
3036,94183,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""1422"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 3036, ""orig_assoc_id"": 94183, ""cbdb_assoc_code"": 438}]",0,0
3036,94717,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""1031"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 3036, ""orig_assoc_id"": 94717, ""cbdb_assoc_code"": 438}]",0,0
3129,3130,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""254"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 3129, ""orig_assoc_id"": 3130, ""cbdb_assoc_code"": 438}]",0,0
3129,3130,KIN,K_SIBLING,兄弟,undirected,,,0.9,unsourced,,118,KIN,2,"[{""source_table"": ""KIN_DATA"", ""c_source"": """", ""c_pages"": """", ""c_sequence"": """", ""c_text_title"": """", ""orig_personid"": 3130, ""orig_assoc_id"": 3129, ""cbdb_assoc_code"": 118}, {""source_table"": ""KIN_DATA"", ""c_source"": """", ""c_pages"": """", ""c_sequence"": """", ""c_text_title"": """", ""orig_personid"": 3129, ""orig_assoc_id"": 3130, ""cbdb_assoc_code"": 118}]",1,0
3129,30851,COLLEAGUE,CL_RECOMMEND,被Y推薦,directed,765,,0.7,unsourced,,14,P,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": """", ""c_pages"": """", ""c_sequence"": 0, ""c_text_title"": ""[n/a]"", ""orig_personid"": 30851, ""orig_assoc_id"": 3129, ""cbdb_assoc_code"": 14}]",1,0
3129,30851,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""32"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 3129, ""orig_assoc_id"": 30851, ""cbdb_assoc_code"": 438}]",0,0
3130,3129,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""254"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 3130, ""orig_assoc_id"": 3129, ""cbdb_assoc_code"": 437}]",0,0
3130,11605,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""257"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3130"", ""orig_assoc_id"": ""11605"", ""cbdb_assoc_code"": ""437""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""257"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""11605"", ""orig_assoc_id"": ""3130"", ""cbdb_assoc_code"": ""438""}]",1,0
